,id,colour,vehicle,nums
501,512830,იისფერი,OPEL VECTRA,7/8
502,512830,თეთრი,VAZ 21065,
503,513863,წითელი,NISSAN NOTE,5/8
504,513863,რუხი,TOYOTA PRIUS,1/8
505,512738,რუხი,TOYOTA PRIUS,1/8
506,512994,რუხი,TOYOTA PRIUS,1/8
507,512977,ლურჯი,HONDA FIT,4/8
508,512977,შავი,HYUNDAI VELOSTER,
509,512977,ყავისფერი,MERCEDES-BENZ C 230,4/8
510,512977,თეთრი,NISSAN FUGA,
511,513904,წითელი,AUDI A4,7/8
512,513223,თეთრი,NISSAN NOTE,
513,513117,მწვანე,HYUNDAI ACCENT,7/8
514,512995,შავი,CHEVROLET TRAILBLAZER,
515,513042,თეთრი,TOYOTA GRAND HIACE,
516,514793,რუხი,MERCEDES-BENZ S 500,2/8
517,514793,თეთრი,MERCEDES-BENZ SPRINTER,
518,513131,შავი,CHEVROLET TRAILBLAZER,
519,513143,შავი,MITSUBISHI DELICA,
520,513143,რუხი,MITSUBISHI DELICA SPACE GEAR,1/8
521,514291,თეთრი,TOYOTA PRIUS,
522,514763,რუხი,TOYOTA PRIUS,1/8
523,512877,რუხი,SKODA OCTAVIA,7/8
524,513707,შავი,TOYOTA LANDCRUISER LC 200,
525,514141,თეთრი,NISSAN JUKE,
526,514653,ლურჯი,HONDA FIT HYBRID,4/8
527,514653,შავი,TOYOTA PRIUS,
528,514716,რუხი,TOYOTA PRIUS,6/8
529,513393,,ვოლკსვაგენ,
530,513393,, კამაზი,
531,513374,თეთრი,OPEL COMBO,
532,513374,რუხი,TOYOTA GRAND HIACE,1/8
533,514664,შავი,EAGLE LYDA 203E,
534,514664,რუხი,MERCEDES-BENZ E 200 CDI,1/8
